From,To,Length(m),Azimuth(deg),Clino(deg)
J12F@LeMasqueEtLaPlume.213.UltimaPatagonia,J12G@LeMasqueEtLaPlume.213.UltimaPatagonia,3.50,44.12,55.00
J12G@LeMasqueEtLaPlume.213.UltimaPatagonia,J12H@LeMasqueEtLaPlume.213.UltimaPatagonia,5.60,165.12,43.00
J12H@LeMasqueEtLaPlume.213.UltimaPatagonia,J12I@LeMasqueEtLaPlume.213.UltimaPatagonia,3.60,184.12,0.00
J12I@LeMasqueEtLaPlume.213.UltimaPatagonia,J12J@LeMasqueEtLaPlume.213.UltimaPatagonia,4.00,76.12,10.00
J12J@LeMasqueEtLaPlume.213.UltimaPatagonia,J12K@LeMasqueEtLaPlume.213.UltimaPatagonia,4.10,52.12,30.00
M102@LeMasqueEtLaPlume.213.UltimaPatagonia,_M102@LeMasqueEtLaPlume.213.UltimaPatagonia,0.00,16.12,0.00
_M102@LeMasqueEtLaPlume.213.UltimaPatagonia,J301@LeMasqueEtLaPlume.213.UltimaPatagonia,11.40,193.12,22.00
J301@LeMasqueEtLaPlume.213.UltimaPatagonia,J302@LeMasqueEtLaPlume.213.UltimaPatagonia,3.00,261.12,32.00
J302@LeMasqueEtLaPlume.213.UltimaPatagonia,J303@LeMasqueEtLaPlume.213.UltimaPatagonia,3.90,162.12,13.00
J303@LeMasqueEtLaPlume.213.UltimaPatagonia,J5@LeMasqueEtLaPlume.213.UltimaPatagonia,6.20,160.12,26.00
B400@LeMasqueEtLaPlume.213.UltimaPatagonia,B401@LeMasqueEtLaPlume.213.UltimaPatagonia,7.70,98.12,-24.00
B401@LeMasqueEtLaPlume.213.UltimaPatagonia,B401B@LeMasqueEtLaPlume.213.UltimaPatagonia,9.00,184.12,8.00
B401B@LeMasqueEtLaPlume.213.UltimaPatagonia,B401C@LeMasqueEtLaPlume.213.UltimaPatagonia,4.20,106.12,0.00
B401@LeMasqueEtLaPlume.213.UltimaPatagonia,B402@LeMasqueEtLaPlume.213.UltimaPatagonia,4.40,10.12,-10.00
B402@LeMasqueEtLaPlume.213.UltimaPatagonia,B403@LeMasqueEtLaPlume.213.UltimaPatagonia,14.20,338.12,52.00
B401@LeMasqueEtLaPlume.213.UltimaPatagonia,B404@LeMasqueEtLaPlume.213.UltimaPatagonia,9.80,44.12,17.00
B404@LeMasqueEtLaPlume.213.UltimaPatagonia,B405@LeMasqueEtLaPlume.213.UltimaPatagonia,5.90,91.12,0.00
B405@LeMasqueEtLaPlume.213.UltimaPatagonia,B406@LeMasqueEtLaPlume.213.UltimaPatagonia,3.80,64.12,12.00
B406@LeMasqueEtLaPlume.213.UltimaPatagonia,B406B@LeMasqueEtLaPlume.213.UltimaPatagonia,4.80,114.12,15.00
B406B@LeMasqueEtLaPlume.213.UltimaPatagonia,B406C@LeMasqueEtLaPlume.213.UltimaPatagonia,3.80,61.12,30.00
B406C@LeMasqueEtLaPlume.213.UltimaPatagonia,B406D@LeMasqueEtLaPlume.213.UltimaPatagonia,4.30,118.12,30.00
B406D@LeMasqueEtLaPlume.213.UltimaPatagonia,B406E@LeMasqueEtLaPlume.213.UltimaPatagonia,5.50,150.12,25.00
B406@LeMasqueEtLaPlume.213.UltimaPatagonia,B407@LeMasqueEtLaPlume.213.UltimaPatagonia,2.60,25.12,-43.00
B407@LeMasqueEtLaPlume.213.UltimaPatagonia,B407B@LeMasqueEtLaPlume.213.UltimaPatagonia,6.00,81.12,0.00
B407@LeMasqueEtLaPlume.213.UltimaPatagonia,B408@LeMasqueEtLaPlume.213.UltimaPatagonia,1.70,292.12,-3.00
B408@LeMasqueEtLaPlume.213.UltimaPatagonia,B409@LeMasqueEtLaPlume.213.UltimaPatagonia,1.20,6.12,-25.00
B409@LeMasqueEtLaPlume.213.UltimaPatagonia,B410@LeMasqueEtLaPlume.213.UltimaPatagonia,3.60,1.12,-2.00
B410@LeMasqueEtLaPlume.213.UltimaPatagonia,B411@LeMasqueEtLaPlume.213.UltimaPatagonia,2.10,42.12,-1.00
B411@LeMasqueEtLaPlume.213.UltimaPatagonia,B412@LeMasqueEtLaPlume.213.UltimaPatagonia,2.50,79.12,-1.00
B412@LeMasqueEtLaPlume.213.UltimaPatagonia,B413@LeMasqueEtLaPlume.213.UltimaPatagonia,10.00,41.12,-60.00
J12J@LeMasqueEtLaPlume.213.UltimaPatagonia,B420@LeMasqueEtLaPlume.213.UltimaPatagonia,2.50,277.12,20.00
B420@LeMasqueEtLaPlume.213.UltimaPatagonia,B421@LeMasqueEtLaPlume.213.UltimaPatagonia,1.40,196.12,48.00
B421@LeMasqueEtLaPlume.213.UltimaPatagonia,B422@LeMasqueEtLaPlume.213.UltimaPatagonia,5.60,246.12,0.00
B422@LeMasqueEtLaPlume.213.UltimaPatagonia,B401@LeMasqueEtLaPlume.213.UltimaPatagonia,7.30,214.12,-2.00
0@GrotteFinistere.213.UltimaPatagonia,1@GrotteFinistere.213.UltimaPatagonia,2.74,39.12,13.00
1@GrotteFinistere.213.UltimaPatagonia,2@GrotteFinistere.213.UltimaPatagonia,5.75,30.12,-25.00
2@GrotteFinistere.213.UltimaPatagonia,3@GrotteFinistere.213.UltimaPatagonia,4.12,80.12,-12.00
3@GrotteFinistere.213.UltimaPatagonia,4@GrotteFinistere.213.UltimaPatagonia,5.62,98.12,0.00
4@GrotteFinistere.213.UltimaPatagonia,5@GrotteFinistere.213.UltimaPatagonia,5.41,117.12,1.00
5@GrotteFinistere.213.UltimaPatagonia,6@GrotteFinistere.213.UltimaPatagonia,1.96,49.12,-4.00
6@GrotteFinistere.213.UltimaPatagonia,7@GrotteFinistere.213.UltimaPatagonia,5.05,140.12,-3.00
7@GrotteFinistere.213.UltimaPatagonia,8@GrotteFinistere.213.UltimaPatagonia,2.94,177.12,12.00
8@GrotteFinistere.213.UltimaPatagonia,9@GrotteFinistere.213.UltimaPatagonia,6.83,115.12,21.00
9@GrotteFinistere.213.UltimaPatagonia,10@GrotteFinistere.213.UltimaPatagonia,4.65,39.12,-15.00
10@GrotteFinistere.213.UltimaPatagonia,11@GrotteFinistere.213.UltimaPatagonia,7.11,25.12,-19.00
11@GrotteFinistere.213.UltimaPatagonia,32b@GrotteFinistere.213.UltimaPatagonia,5.00,25.12,-19.00
11@GrotteFinistere.213.UltimaPatagonia,12@GrotteFinistere.213.UltimaPatagonia,8.40,178.12,22.00
12@GrotteFinistere.213.UltimaPatagonia,13@GrotteFinistere.213.UltimaPatagonia,6.15,194.12,25.00
13@GrotteFinistere.213.UltimaPatagonia,14@GrotteFinistere.213.UltimaPatagonia,12.45,184.12,28.00
14@GrotteFinistere.213.UltimaPatagonia,15@GrotteFinistere.213.UltimaPatagonia,4.99,132.12,4.00
15@GrotteFinistere.213.UltimaPatagonia,16@GrotteFinistere.213.UltimaPatagonia,3.72,170.12,-5.00
16@GrotteFinistere.213.UltimaPatagonia,17@GrotteFinistere.213.UltimaPatagonia,6.41,174.12,32.00
17@GrotteFinistere.213.UltimaPatagonia,18@GrotteFinistere.213.UltimaPatagonia,6.01,252.12,11.00
18@GrotteFinistere.213.UltimaPatagonia,19@GrotteFinistere.213.UltimaPatagonia,6.10,319.12,4.00
19@GrotteFinistere.213.UltimaPatagonia,20@GrotteFinistere.213.UltimaPatagonia,5.24,223.12,0.00
20@GrotteFinistere.213.UltimaPatagonia,21@GrotteFinistere.213.UltimaPatagonia,5.33,247.12,12.00
21@GrotteFinistere.213.UltimaPatagonia,22@GrotteFinistere.213.UltimaPatagonia,5.74,176.12,-3.00
22@GrotteFinistere.213.UltimaPatagonia,23@GrotteFinistere.213.UltimaPatagonia,7.50,247.12,16.00
23@GrotteFinistere.213.UltimaPatagonia,24@GrotteFinistere.213.UltimaPatagonia,10.81,324.12,-18.00
23@GrotteFinistere.213.UltimaPatagonia,25@GrotteFinistere.213.UltimaPatagonia,5.66,299.12,-9.00
25@GrotteFinistere.213.UltimaPatagonia,26@GrotteFinistere.213.UltimaPatagonia,15.47,174.12,18.00
26@GrotteFinistere.213.UltimaPatagonia,27@GrotteFinistere.213.UltimaPatagonia,21.86,173.12,30.00
27@GrotteFinistere.213.UltimaPatagonia,28@GrotteFinistere.213.UltimaPatagonia,5.74,197.12,12.00
28@GrotteFinistere.213.UltimaPatagonia,29@GrotteFinistere.213.UltimaPatagonia,12.93,154.12,18.00
29@GrotteFinistere.213.UltimaPatagonia,A1@GrotteFinistere.213.UltimaPatagonia,10.17,144.12,18.00
A1@GrotteFinistere.213.UltimaPatagonia,A2@GrotteFinistere.213.UltimaPatagonia,2.86,54.12,10.00
A2@GrotteFinistere.213.UltimaPatagonia,A3@GrotteFinistere.213.UltimaPatagonia,8.91,290.12,66.00
A3@GrotteFinistere.213.UltimaPatagonia,A4@GrotteFinistere.213.UltimaPatagonia,15.00,145.12,70.00
29@GrotteFinistere.213.UltimaPatagonia,30@GrotteFinistere.213.UltimaPatagonia,9.68,200.12,38.00
30@GrotteFinistere.213.UltimaPatagonia,31@GrotteFinistere.213.UltimaPatagonia,1.77,234.12,30.00
31@GrotteFinistere.213.UltimaPatagonia,32@GrotteFinistere.213.UltimaPatagonia,9.86,210.12,27.00
32@GrotteFinistere.213.UltimaPatagonia,33@GrotteFinistere.213.UltimaPatagonia,2.94,188.12,29.00
33@GrotteFinistere.213.UltimaPatagonia,34@GrotteFinistere.213.UltimaPatagonia,5.19,209.12,42.00
34@GrotteFinistere.213.UltimaPatagonia,35@GrotteFinistere.213.UltimaPatagonia,2.75,196.12,31.00
35@GrotteFinistere.213.UltimaPatagonia,36@GrotteFinistere.213.UltimaPatagonia,4.69,224.12,39.00
36@GrotteFinistere.213.UltimaPatagonia,B1@GrotteFinistere.213.UltimaPatagonia,3.73,192.12,39.00
B1@GrotteFinistere.213.UltimaPatagonia,B2@GrotteFinistere.213.UltimaPatagonia,3.95,218.12,40.00
B2@GrotteFinistere.213.UltimaPatagonia,B3@GrotteFinistere.213.UltimaPatagonia,3.40,164.12,28.00
B3@GrotteFinistere.213.UltimaPatagonia,B4@GrotteFinistere.213.UltimaPatagonia,6.15,195.12,56.00
B4@GrotteFinistere.213.UltimaPatagonia,B5@GrotteFinistere.213.UltimaPatagonia,2.84,137.12,76.00
35@GrotteFinistere.213.UltimaPatagonia,42@GrotteFinistere.213.UltimaPatagonia,9.00,196.12,40.00
29@GrotteFinistere.213.UltimaPatagonia,37@GrotteFinistere.213.UltimaPatagonia,10.09,287.12,-7.00
37@GrotteFinistere.213.UltimaPatagonia,38@GrotteFinistere.213.UltimaPatagonia,11.23,19.12,-32.00
38@GrotteFinistere.213.UltimaPatagonia,39@GrotteFinistere.213.UltimaPatagonia,4.94,18.12,-28.00
39@GrotteFinistere.213.UltimaPatagonia,40@GrotteFinistere.213.UltimaPatagonia,9.50,34.12,-21.00
40@GrotteFinistere.213.UltimaPatagonia,41@GrotteFinistere.213.UltimaPatagonia,6.00,349.12,0.00
42@GrotteFinistere.213.UltimaPatagonia,C1@GrotteFinistere.213.UltimaPatagonia,6.94,158.12,50.00
C1@GrotteFinistere.213.UltimaPatagonia,C2@GrotteFinistere.213.UltimaPatagonia,4.70,113.12,38.00
C2@GrotteFinistere.213.UltimaPatagonia,C3@GrotteFinistere.213.UltimaPatagonia,5.15,150.12,52.00
C3@GrotteFinistere.213.UltimaPatagonia,C4@GrotteFinistere.213.UltimaPatagonia,5.70,215.12,42.00
C4@GrotteFinistere.213.UltimaPatagonia,C5@GrotteFinistere.213.UltimaPatagonia,4.90,248.12,40.00
C5@GrotteFinistere.213.UltimaPatagonia,C6@GrotteFinistere.213.UltimaPatagonia,4.89,215.12,40.00
C6@GrotteFinistere.213.UltimaPatagonia,C7@GrotteFinistere.213.UltimaPatagonia,2.48,291.12,0.00
C7@GrotteFinistere.213.UltimaPatagonia,C8@GrotteFinistere.213.UltimaPatagonia,6.20,184.12,38.00
C8@GrotteFinistere.213.UltimaPatagonia,C9@GrotteFinistere.213.UltimaPatagonia,4.90,215.12,47.00
C9@GrotteFinistere.213.UltimaPatagonia,C10@GrotteFinistere.213.UltimaPatagonia,4.70,203.12,36.00
C10@GrotteFinistere.213.UltimaPatagonia,C11@GrotteFinistere.213.UltimaPatagonia,3.96,232.12,36.00
C11@GrotteFinistere.213.UltimaPatagonia,C12@GrotteFinistere.213.UltimaPatagonia,5.68,184.12,55.00
0a@GrotteFinistere.213.UltimaPatagonia,1a@GrotteFinistere.213.UltimaPatagonia,3.00,71.12,-10.00
1a@GrotteFinistere.213.UltimaPatagonia,2a@GrotteFinistere.213.UltimaPatagonia,4.00,22.12,-2.00
2a@GrotteFinistere.213.UltimaPatagonia,3a@GrotteFinistere.213.UltimaPatagonia,4.00,306.12,-11.00
3a@GrotteFinistere.213.UltimaPatagonia,4a@GrotteFinistere.213.UltimaPatagonia,3.00,346.12,-21.00
4a@GrotteFinistere.213.UltimaPatagonia,5a@GrotteFinistere.213.UltimaPatagonia,2.00,327.12,-12.00
5a@GrotteFinistere.213.UltimaPatagonia,6a@GrotteFinistere.213.UltimaPatagonia,7.00,320.12,-22.00
6a@GrotteFinistere.213.UltimaPatagonia,7a@GrotteFinistere.213.UltimaPatagonia,4.00,325.12,-19.00
7a@GrotteFinistere.213.UltimaPatagonia,8a@GrotteFinistere.213.UltimaPatagonia,2.00,30.12,5.00
8a@GrotteFinistere.213.UltimaPatagonia,9a@GrotteFinistere.213.UltimaPatagonia,3.00,27.12,-14.00
9a@GrotteFinistere.213.UltimaPatagonia,10a@GrotteFinistere.213.UltimaPatagonia,3.00,71.12,30.00
10a@GrotteFinistere.213.UltimaPatagonia,11a@GrotteFinistere.213.UltimaPatagonia,7.00,25.12,29.00
11a@GrotteFinistere.213.UltimaPatagonia,12a@GrotteFinistere.213.UltimaPatagonia,2.00,65.12,-24.00
12a@GrotteFinistere.213.UltimaPatagonia,13a@GrotteFinistere.213.UltimaPatagonia,8.00,22.12,-30.00
13a@GrotteFinistere.213.UltimaPatagonia,14a@GrotteFinistere.213.UltimaPatagonia,15.00,131.12,0.00
7a@GrotteFinistere.213.UltimaPatagonia,15a@GrotteFinistere.213.UltimaPatagonia,7.00,181.12,34.00
15a@GrotteFinistere.213.UltimaPatagonia,16a@GrotteFinistere.213.UltimaPatagonia,10.00,211.12,0.00
16a@GrotteFinistere.213.UltimaPatagonia,17a@GrotteFinistere.213.UltimaPatagonia,10.00,256.12,22.00
17a@GrotteFinistere.213.UltimaPatagonia,18a@GrotteFinistere.213.UltimaPatagonia,5.00,154.12,12.00
18a@GrotteFinistere.213.UltimaPatagonia,19a@GrotteFinistere.213.UltimaPatagonia,9.00,115.12,12.00
19a@GrotteFinistere.213.UltimaPatagonia,20a@GrotteFinistere.213.UltimaPatagonia,7.00,138.12,0.00
20a@GrotteFinistere.213.UltimaPatagonia,21a@GrotteFinistere.213.UltimaPatagonia,3.80,71.12,7.00
21a@GrotteFinistere.213.UltimaPatagonia,22a@GrotteFinistere.213.UltimaPatagonia,4.00,185.12,6.00
22a@GrotteFinistere.213.UltimaPatagonia,23a@GrotteFinistere.213.UltimaPatagonia,6.00,188.12,15.00
23a@GrotteFinistere.213.UltimaPatagonia,24a@GrotteFinistere.213.UltimaPatagonia,7.00,120.12,0.00
24a@GrotteFinistere.213.UltimaPatagonia,25a@GrotteFinistere.213.UltimaPatagonia,3.00,242.12,34.00
25a@GrotteFinistere.213.UltimaPatagonia,26a@GrotteFinistere.213.UltimaPatagonia,3.00,181.12,25.00
16a@GrotteFinistere.213.UltimaPatagonia,27a@GrotteFinistere.213.UltimaPatagonia,13.00,337.12,-15.00
27a@GrotteFinistere.213.UltimaPatagonia,28a@GrotteFinistere.213.UltimaPatagonia,6.00,187.12,8.00
27a@GrotteFinistere.213.UltimaPatagonia,29a@GrotteFinistere.213.UltimaPatagonia,8.00,205.12,24.00
29a@GrotteFinistere.213.UltimaPatagonia,30a@GrotteFinistere.213.UltimaPatagonia,9.00,287.12,-30.00
30a@GrotteFinistere.213.UltimaPatagonia,31a@GrotteFinistere.213.UltimaPatagonia,5.00,327.12,-35.00
31a@GrotteFinistere.213.UltimaPatagonia,32a@GrotteFinistere.213.UltimaPatagonia,4.00,16.12,-19.00
32a@GrotteFinistere.213.UltimaPatagonia,33a@GrotteFinistere.213.UltimaPatagonia,4.00,135.12,5.00
33a@GrotteFinistere.213.UltimaPatagonia,34a@GrotteFinistere.213.UltimaPatagonia,4.00,59.12,3.00
34a@GrotteFinistere.213.UltimaPatagonia,27a@GrotteFinistere.213.UltimaPatagonia,9.00,133.12,40.00
32a@GrotteFinistere.213.UltimaPatagonia,35a@GrotteFinistere.213.UltimaPatagonia,4.00,317.12,-20.00
35a@GrotteFinistere.213.UltimaPatagonia,36a@GrotteFinistere.213.UltimaPatagonia,5.00,59.12,-17.00
35a@GrotteFinistere.213.UltimaPatagonia,37a@GrotteFinistere.213.UltimaPatagonia,19.00,276.12,0.00
37a@GrotteFinistere.213.UltimaPatagonia,38a@GrotteFinistere.213.UltimaPatagonia,6.00,284.12,-23.00
38a@GrotteFinistere.213.UltimaPatagonia,39a@GrotteFinistere.213.UltimaPatagonia,7.00,282.12,-24.00
39a@GrotteFinistere.213.UltimaPatagonia,40a@GrotteFinistere.213.UltimaPatagonia,10.00,325.12,-6.00
40a@GrotteFinistere.213.UltimaPatagonia,41a@GrotteFinistere.213.UltimaPatagonia,15.00,275.12,-8.00
41a@GrotteFinistere.213.UltimaPatagonia,42a@GrotteFinistere.213.UltimaPatagonia,8.00,175.12,17.00
42a@GrotteFinistere.213.UltimaPatagonia,43a@GrotteFinistere.213.UltimaPatagonia,1.00,16.12,-90.00
43a@GrotteFinistere.213.UltimaPatagonia,44a@GrotteFinistere.213.UltimaPatagonia,7.00,177.12,24.00
41a@GrotteFinistere.213.UltimaPatagonia,45a@GrotteFinistere.213.UltimaPatagonia,5.00,312.12,-34.00
45a@GrotteFinistere.213.UltimaPatagonia,46a@GrotteFinistere.213.UltimaPatagonia,12.00,288.12,-33.00
46a@GrotteFinistere.213.UltimaPatagonia,47a@GrotteFinistere.213.UltimaPatagonia,22.00,335.12,-20.00
47a@GrotteFinistere.213.UltimaPatagonia,48a@GrotteFinistere.213.UltimaPatagonia,4.00,151.12,-10.00
48a@GrotteFinistere.213.UltimaPatagonia,49a@GrotteFinistere.213.UltimaPatagonia,4.00,53.12,-5.00
49a@GrotteFinistere.213.UltimaPatagonia,50a@GrotteFinistere.213.UltimaPatagonia,2.00,112.12,4.00
50a@GrotteFinistere.213.UltimaPatagonia,51a@GrotteFinistere.213.UltimaPatagonia,1.00,147.12,25.00
51a@GrotteFinistere.213.UltimaPatagonia,52a@GrotteFinistere.213.UltimaPatagonia,7.00,142.12,20.00
52a@GrotteFinistere.213.UltimaPatagonia,53a@GrotteFinistere.213.UltimaPatagonia,7.00,72.12,7.00
53a@GrotteFinistere.213.UltimaPatagonia,54a@GrotteFinistere.213.UltimaPatagonia,7.00,112.12,27.00
54a@GrotteFinistere.213.UltimaPatagonia,55a@GrotteFinistere.213.UltimaPatagonia,3.00,143.12,4.00
55a@GrotteFinistere.213.UltimaPatagonia,56a@GrotteFinistere.213.UltimaPatagonia,4.00,41.12,32.00
56a@GrotteFinistere.213.UltimaPatagonia,57a@GrotteFinistere.213.UltimaPatagonia,3.00,95.12,4.00
57a@GrotteFinistere.213.UltimaPatagonia,58a@GrotteFinistere.213.UltimaPatagonia,12.00,127.12,18.00
58a@GrotteFinistere.213.UltimaPatagonia,59a@GrotteFinistere.213.UltimaPatagonia,3.00,138.12,5.00
59a@GrotteFinistere.213.UltimaPatagonia,60a@GrotteFinistere.213.UltimaPatagonia,5.00,199.12,-5.00
60a@GrotteFinistere.213.UltimaPatagonia,40a@GrotteFinistere.213.UltimaPatagonia,3.00,16.12,90.00
58a@GrotteFinistere.213.UltimaPatagonia,61a@GrotteFinistere.213.UltimaPatagonia,1.00,340.12,-10.00
61a@GrotteFinistere.213.UltimaPatagonia,62a@GrotteFinistere.213.UltimaPatagonia,11.00,231.12,5.00
62a@GrotteFinistere.213.UltimaPatagonia,63a@GrotteFinistere.213.UltimaPatagonia,4.00,282.12,-47.00
63a@GrotteFinistere.213.UltimaPatagonia,55a@GrotteFinistere.213.UltimaPatagonia,10.00,17.12,-15.00
47a@GrotteFinistere.213.UltimaPatagonia,64a@GrotteFinistere.213.UltimaPatagonia,5.00,268.12,-5.00
64a@GrotteFinistere.213.UltimaPatagonia,65a@GrotteFinistere.213.UltimaPatagonia,7.00,213.12,0.00
65a@GrotteFinistere.213.UltimaPatagonia,66a@GrotteFinistere.213.UltimaPatagonia,3.00,251.12,-24.00
66a@GrotteFinistere.213.UltimaPatagonia,67a@GrotteFinistere.213.UltimaPatagonia,4.00,200.12,24.00
67a@GrotteFinistere.213.UltimaPatagonia,68a@GrotteFinistere.213.UltimaPatagonia,6.00,221.12,41.00
68a@GrotteFinistere.213.UltimaPatagonia,69a@GrotteFinistere.213.UltimaPatagonia,3.00,357.12,-25.00
69a@GrotteFinistere.213.UltimaPatagonia,70a@GrotteFinistere.213.UltimaPatagonia,2.00,255.12,0.00
70a@GrotteFinistere.213.UltimaPatagonia,71a@GrotteFinistere.213.UltimaPatagonia,4.00,222.12,0.00
66a@GrotteFinistere.213.UltimaPatagonia,0b@GrotteFinistere.213.UltimaPatagonia,0.00,16.12,0.00
0b@GrotteFinistere.213.UltimaPatagonia,1b@GrotteFinistere.213.UltimaPatagonia,2.54,343.12,-33.00
1b@GrotteFinistere.213.UltimaPatagonia,2b@GrotteFinistere.213.UltimaPatagonia,2.05,277.12,-21.00
2b@GrotteFinistere.213.UltimaPatagonia,3b@GrotteFinistere.213.UltimaPatagonia,7.36,354.12,-29.00
3b@GrotteFinistere.213.UltimaPatagonia,4b@GrotteFinistere.213.UltimaPatagonia,4.06,328.12,-14.00
4b@GrotteFinistere.213.UltimaPatagonia,5b@GrotteFinistere.213.UltimaPatagonia,2.98,39.12,-5.00
5b@GrotteFinistere.213.UltimaPatagonia,6b@GrotteFinistere.213.UltimaPatagonia,5.19,348.12,-12.00
6b@GrotteFinistere.213.UltimaPatagonia,7b@GrotteFinistere.213.UltimaPatagonia,5.87,279.12,-7.00
7b@GrotteFinistere.213.UltimaPatagonia,8b@GrotteFinistere.213.UltimaPatagonia,4.82,241.12,-11.00
8b@GrotteFinistere.213.UltimaPatagonia,9b@GrotteFinistere.213.UltimaPatagonia,3.39,216.12,19.00
9b@GrotteFinistere.213.UltimaPatagonia,10b@GrotteFinistere.213.UltimaPatagonia,4.02,310.12,-13.00
10b@GrotteFinistere.213.UltimaPatagonia,11b@GrotteFinistere.213.UltimaPatagonia,6.48,349.12,-19.00
11b@GrotteFinistere.213.UltimaPatagonia,12b@GrotteFinistere.213.UltimaPatagonia,9.40,5.12,-10.00
12b@GrotteFinistere.213.UltimaPatagonia,17b@GrotteFinistere.213.UltimaPatagonia,23.31,16.12,-29.00
12b@GrotteFinistere.213.UltimaPatagonia,13b@GrotteFinistere.213.UltimaPatagonia,12.30,354.12,-37.00
13b@GrotteFinistere.213.UltimaPatagonia,14b@GrotteFinistere.213.UltimaPatagonia,10.46,346.12,-3.00
14b@GrotteFinistere.213.UltimaPatagonia,15b@GrotteFinistere.213.UltimaPatagonia,9.30,24.12,-20.00
15b@GrotteFinistere.213.UltimaPatagonia,16b@GrotteFinistere.213.UltimaPatagonia,11.33,273.12,-15.00
12b@GrotteFinistere.213.UltimaPatagonia,18b@GrotteFinistere.213.UltimaPatagonia,11.75,196.12,19.00
18b@GrotteFinistere.213.UltimaPatagonia,19b@GrotteFinistere.213.UltimaPatagonia,3.95,163.12,8.00
19b@GrotteFinistere.213.UltimaPatagonia,20b@GrotteFinistere.213.UltimaPatagonia,3.93,35.12,0.00
20b@GrotteFinistere.213.UltimaPatagonia,21b@GrotteFinistere.213.UltimaPatagonia,4.17,43.12,-20.00
71a@GrotteFinistere.213.UltimaPatagonia,22b@GrotteFinistere.213.UltimaPatagonia,0.00,16.12,0.00
22b@GrotteFinistere.213.UltimaPatagonia,23b@GrotteFinistere.213.UltimaPatagonia,8.34,315.12,-46.00
23b@GrotteFinistere.213.UltimaPatagonia,24b@GrotteFinistere.213.UltimaPatagonia,4.49,190.12,10.00
24b@GrotteFinistere.213.UltimaPatagonia,25b@GrotteFinistere.213.UltimaPatagonia,3.18,86.12,9.00
25b@GrotteFinistere.213.UltimaPatagonia,33b@GrotteFinistere.213.UltimaPatagonia,5.99,169.12,18.00
33b@GrotteFinistere.213.UltimaPatagonia,34b@GrotteFinistere.213.UltimaPatagonia,3.07,210.12,42.00
25b@GrotteFinistere.213.UltimaPatagonia,26b@GrotteFinistere.213.UltimaPatagonia,4.73,255.12,68.00
26b@GrotteFinistere.213.UltimaPatagonia,27b@GrotteFinistere.213.UltimaPatagonia,3.95,151.12,67.00
27b@GrotteFinistere.213.UltimaPatagonia,28b@GrotteFinistere.213.UltimaPatagonia,4.57,181.12,8.00
28b@GrotteFinistere.213.UltimaPatagonia,29b@GrotteFinistere.213.UltimaPatagonia,4.84,172.12,18.00
29b@GrotteFinistere.213.UltimaPatagonia,30b@GrotteFinistere.213.UltimaPatagonia,4.15,158.12,7.00
30b@GrotteFinistere.213.UltimaPatagonia,31b@GrotteFinistere.213.UltimaPatagonia,3.16,168.12,23.00
31b@GrotteFinistere.213.UltimaPatagonia,32b@GrotteFinistere.213.UltimaPatagonia,1.30,88.12,43.00
26b@GrotteFinistere.213.UltimaPatagonia,27b@GrotteFinistere.213.UltimaPatagonia,3.95,151.12,67.00
27b@GrotteFinistere.213.UltimaPatagonia,28b@GrotteFinistere.213.UltimaPatagonia,4.57,181.12,8.00
28b@GrotteFinistere.213.UltimaPatagonia,29b@GrotteFinistere.213.UltimaPatagonia,4.84,172.12,18.00
29b@GrotteFinistere.213.UltimaPatagonia,30b@GrotteFinistere.213.UltimaPatagonia,4.15,158.12,7.00
30b@GrotteFinistere.213.UltimaPatagonia,31b@GrotteFinistere.213.UltimaPatagonia,3.16,168.12,23.00
31b@GrotteFinistere.213.UltimaPatagonia,32b@GrotteFinistere.213.UltimaPatagonia,1.30,88.12,43.00
0@PerteGlaciaire.213.UltimaPatagonia,1@PerteGlaciaire.213.UltimaPatagonia,18.00,222.68,39.00
1@PerteGlaciaire.213.UltimaPatagonia,2@PerteGlaciaire.213.UltimaPatagonia,14.40,113.68,-21.00
2@PerteGlaciaire.213.UltimaPatagonia,3@PerteGlaciaire.213.UltimaPatagonia,17.47,62.68,-20.00
3@PerteGlaciaire.213.UltimaPatagonia,4@PerteGlaciaire.213.UltimaPatagonia,10.73,95.68,35.00
4@PerteGlaciaire.213.UltimaPatagonia,5@PerteGlaciaire.213.UltimaPatagonia,18.13,157.68,10.00
5@PerteGlaciaire.213.UltimaPatagonia,6@PerteGlaciaire.213.UltimaPatagonia,6.00,141.68,-60.00
6@PerteGlaciaire.213.UltimaPatagonia,7@PerteGlaciaire.213.UltimaPatagonia,11.00,127.68,9.00
7@PerteGlaciaire.213.UltimaPatagonia,8@PerteGlaciaire.213.UltimaPatagonia,9.80,172.68,17.00
8@PerteGlaciaire.213.UltimaPatagonia,9@PerteGlaciaire.213.UltimaPatagonia,23.00,232.68,34.00
9@PerteGlaciaire.213.UltimaPatagonia,10@PerteGlaciaire.213.UltimaPatagonia,4.71,190.68,20.00
5@PerteGlaciaire.213.UltimaPatagonia,5_1@PerteGlaciaire.213.UltimaPatagonia,11.54,247.68,44.00
5_1@PerteGlaciaire.213.UltimaPatagonia,5_2@PerteGlaciaire.213.UltimaPatagonia,21.00,247.68,44.00
# Equated stations
0@LeMasqueEtLaPlume,ENT_213001@(null)
0@GrotteFinistere,ENT_213002@(null)
ENT_213003@(null),0@PerteGlaciaire
# End equated stations
